movieName;Metascore_w;diff;Author;Summary
wiener-dog;8;4;lennycliff123;"[ ""Wiener Dog is a movie about a dachshund as it passes through several owners, though it's less about the dog itself and more about the people, some grotesque, some pitiable, that inhabit its life."", """", ""Full of memorable characters and lines, it's the movie of the year so far for me. Highly recommended though not for the easily offended."" ]"
the-beguiled;9;8;foxgrove;"[ ""Visually sumptuous and beautifully understated. Sofia Coppola has directed with assured confidence her best film to date, a remake of the 1971 version starring Clint Eastwood and Geraldine Page. The screenplay quietly bristles with sexual subtext and Nicole Kidman, Kirsten Dunst and Elle Fanning are more than equal to the demands placed upon them by so intelligent a re-imagining, where subtlety is the order of the day. One is left compelled,gripped and exhilarated. Definitely better than the original."" ]"
baby-driver;6;5;foxgrove;"[ ""Flashy, entertaining, but just a little bit too pleased with itself. To base a whole film around a soundtrack is almost certainly asking for trouble and inevitably Edgar Wright's idea and direction are both a lot better than his screenplay, which on more than a few occasions pushed the bounds of credibility. The cast are firing on all cylinders but the film annoyingly see-saws between good and fair throughout due to some loose writing. Strangely the music choices are often only ok, although credit must be given for them not having been over used in other films. Standout music piece is a track by 'Focus'(taken from Focus Three if I'm not mistaken)to accompany a chase sequence on foot involving 'Baby Driver' Ansel Elgort, who for once is actually good in a role. As befits a crime thriller the editing is sharp and the sound is clear. It must be said that the film definitely leaves an impression after disappearing from the screen. I just wish that the writing could have made that impression more consistent for me to appreciate the resultant movie better."" ]"
free-fire;5;4;foxgrove;"[ ""A little of this ludicrous 'Reservoir Dogs' wannabe goes a long way. Everything takes place in one location and although there is undeniable attention grabbing action throughout, there is also a certain repetitiveness which begins to pall around the half way point. A game cast do all they can with unoriginal dialogue and there are as many expletives flying around as bullets. The whole thing resolutely refuses to sustain viewer investment, and an air of pointlessness is unable to be dispelled despite snappily impressive editing and a manageable running time."" ]"
the-sense-of-an-ending;9;8;foxgrove;"[ ""Thoroughly engrossing drama based on a good story by Julian Barnes has some top class British actors giving great characterisations. Jim Broadbent shakes off his usual predictable mannerisms and is actually very good here and the story keeps you guessing right up to the poignant end. It's always good to see Charlotte Rampling on screen and the film also makes very good use of familiar London locations. A small gem of a film which is my favourite of the year so far."" ]"
dheepan;5;4;foxgrove;"[ ""A Story of three people, victims of war torn Sri-Lanka, adopting each other in order to escape to France only to find themselves in the midst of another kind of war. This richly detailed movie is both culturally and socially interesting, but far too slow to be anything more than moderately entertaining. The climatic orgy of violence (shades of Taxi Driver, anyone?) feels like the film’s raison d’etre and is signposted as coming very early on in the story’s proceedings. The subsequent coda also seems very pat and conventional for a film which is, at its core, presenting a world which is anything but."" ]"
jackie;3;2;foxgrove;[]
i-am-michael;9;8;foxgrove;"[ ""Whilst most gay films are often about coming out this unusual offering is about a man who decides to go back in. This problematic premise could so easily have wound up as superficial or patronising taking on as it does an element of the nature vs nurture debate. Questions are posed as to whether sexuality is actually a choice, and despite one's individual beliefs, asks you to seriously consider your answer. Thankfully, due to a screenplay that is interestingly provocative and a performance from James Franco that beautifully walks a tightrope of believability, the film is an unqualified success. Franco plays Michael, a man rejecting his homosexuality after discovering god. Giving a complex and nuanced performance in another fascinating role choice that pushes his own boundaries, Franco is key to the film's credibility. Both the character and the story feel totally authentic which is no small feat given the material. True story or not, in less accomplished hands events played out could have come over as simply glib and contrived."", ""The film also touches on issues of faith. Religion feeds the story and one has to acknowledge that despite the good intentions that are implicit through one's faith, it is also these unbending individual beliefs that are responsible for so many of the world's problems. Whilst the film, thankfully, doesn't delve in to this arena, a rather telling ending certainly suggests that all is not what it seems for Michael and his new found vocation."" ]"
elle;9;8;foxgrove;"[ ""Isabelle Huppert has never been better than in this wonderfully constructed drama by Paul Verhoeven. Although positioning a rape front and centre, this is no ordinary revenge drama but a well written and directed character driven thriller that keeps you guessing as to the culprit's identity despite a few red herrings being thrown into the mix. It's fair to say that the film is about 10 minutes too long and for those paying close attention the eventual unmasking of the guilty party comes as no big surprise. Compelling and stylish film making non-the less."" ]"
fantastic-beasts-and-where-to-find-them;6;5;foxgrove;"[ ""'Don't do anything that's predictable' states Eddie Redmayne's bizarrely named Newt Scamader, a piece of advice that the movie itself was never going to follow. And therein lies the problem with this formulaic, but not unlikeable Potter spin off. The trouble with these franchises or big blockbuster films is that they are all just constantly rehashing old story lines or ideas to the extent that one often knows before viewing exactly what will be on offer. This lack of originality began to pall ages ago for the casual viewer, but as freshness and surprises are no longer considerations maybe even the faithful fan will become bored with all the repetition."", ""Still, I'm sure the plentiful supply of Potter stalwarts will lap it up and, in fairness, it is actually a better film than some of those were. Eddie Redmayne follows up on his Oscar nominated roles in 'The Theory of Everything' and 'The Danish Girl' with a somewhat limp and inattentive performance, or maybe that's just the character he plays. Whichever, he doesn't impress. Far better is the supporting turn of Dan Fogler as prospective Baker Jacob Kowalski who gets unwittingly caught up in the world of magic and fantastic creatures. One scene involving him is actually very moving. The film cannot be faulted at all on its visual effects and Art-Direction. They often take one's breath away and are constantly eye catching. Both crafts go a long way in sustaining interest in a so-so story. Also prominently drawing attention, although not for the same reason, is the rather dark cinematography. Whilst the script's tone is intentionally sombre, dealing with wizards and magic as it does, the 3D visuals of the print under review are frequently so colourless that I had to remove my glasses on more than a few occasions in order to check that this effect was intentional. This aside, however, as franchises go you could do a lot worse than to commit to this initial instalment. As for the promised four sequels, I suppose we'll have to wait and see."" ]"
get-out;6;5;foxgrove;"[ ""Although suspenseful and nicely paced for the most part, this suffers from having a hurriedly staged finale and a few too many loose ends. One is left wondering just how the black victim will explain the incredible events that he has uncovered. Also the story arc involving the investigating friend lacks credibility and causes suspension of disbelief to just keep mounting. Still, the big reveal when it arrives is a good one and there is a compelling performance by Allison Williams which nurtures the interest."" ]"
king-cobra;7;6;foxgrove;"[ ""The tongue is not the only thing in the cheek of this entertainingly brisk and breezy look at the gay porn industry. Telling the story of the murder of a porn king at the behest of some disgruntled stars, the film is never as shocking as its subject would suggest but is always entirely watchable. Director Justin Kelly has assembled an unusual choice of actors for this specialised venture many of whom had their heyday in the 80’s and 90’s. Even with all the male flesh on display the real revelation comes in the shape of Christian Slater who is really quite surprising here, especially given his fairly conventional output of the last few years. Aside from Slater, Molly Ringwald turn up looking great.  Ditto Alicia Silverstone who seems a bit off key as the mother of up and coming porn star, very well played by Disney ingénue Garrett Clayton. The star of the show however, although not necessarily the best performance, is James Franco who acts as well as produces. He succeeds once again in further muddying the water with regards to his involvement in these types of unconventional projects."" ]"
moonlight-2016;9;8;foxgrove;"[ ""A beautifully written story delineating the burgeoning sexuality of Chiron from boy to man told via three different time periods. Beautifully acted by its entire cast and directed with confident restraint by Barry Jenkins. Add to this the gorgeous glow the cinematography exudes and you have a major masterpiece in a minor key. It's every bit as impressive as was 'Brokeback Mountain' eleven years ago."" ]"
nocturnal-animals;10;9;foxgrove;"[ ""Fashion designer Tom Ford's new film is a fascinating and intricately complex film that compels from beginning to end. The somewhat shocking and bewildering opening makes way for a thrilling thriller of a screenplay that is rich in detail, hitting more than a few nails on the head with regards to the human condition. Performances of all cast members are good but generally un-showy with the possible exceptions being Michael Shannon and Aaron Taylor Johnson. To give away any of the story would be to spoil the tantalising grip the film has whilst unfolding. Suffice it to say that the denouement thoroughly delivers on its tantalising promises. Indeed, the ending is great for those who like to think about what they have seen. Reflection enables one to satisfactorily pull together all the strands of this intelligent and rewarding adult drama whilst still leaving room for debate. As expected the film looks great with special mentions for the brilliant editing and beautifully atmospheric music."" ]"
